,Station,Arrive,Depart,Train,index
785,上野,2021-11-30 07:42:00,,07-15-上野-普通,5.0
102,大宮(埼玉),2021-11-30 07:19:00,2021-11-30 07:19:00,07-21-小田原-快速,0.0
103,浦和,2021-11-30 07:27:00,2021-11-30 07:27:00,07-21-小田原-快速,1.0
104,赤羽,2021-11-30 07:36:00,2021-11-30 07:36:00,07-21-小田原-快速,2.0
2126,赤羽,2021-11-30 07:37:00,2021-11-30 07:37:00,07-21-小田原-快速,2.5
105,池袋,2021-11-30 07:48:00,2021-11-30 07:48:00,07-21-小田原-快速,3.0
2127,池袋,2021-11-30 07:49:00,2021-11-30 07:49:00,07-21-小田原-快速,3.5
106,新宿,2021-11-30 07:54:00,2021-11-30 07:54:00,07-21-小田原-快速,4.0
2128,新宿,2021-11-30 07:55:00,2021-11-30 07:55:00,07-21-小田原-快速,4.5
107,渋谷,2021-11-30 07:59:00,2021-11-30 07:59:00,07-21-小田原-快速,5.0
2129,渋谷,2021-11-30 08:00:00,2021-11-30 08:00:00,07-21-小田原-快速,5.5
108,恵比寿,2021-11-30 08:02:00,2021-11-30 08:02:00,07-21-小田原-快速,6.0
109,大崎,2021-11-30 08:06:00,2021-11-30 08:06:00,07-21-小田原-快速,7.0
2130,大崎,2021-11-30 08:09:00,2021-11-30 08:09:00,07-21-小田原-快速,7.5
110,武蔵小杉,2021-11-30 08:17:00,2021-11-30 08:17:00,07-21-小田原-快速,8.0
2131,武蔵小杉,2021-11-30 08:18:00,2021-11-30 08:18:00,07-21-小田原-快速,8.5
111,横浜,2021-11-30 08:29:00,2021-11-30 08:29:00,07-21-小田原-快速,9.0
2132,横浜,2021-11-30 08:30:00,2021-11-30 08:30:00,07-21-小田原-快速,9.5
112,戸塚,2021-11-30 08:42:00,2021-11-30 08:42:00,07-21-小田原-快速,10.0
113,大船,2021-11-30 08:47:00,2021-11-30 08:47:00,07-21-小田原-快速,11.0
2133,大船,2021-11-30 08:48:00,2021-11-30 08:48:00,07-21-小田原-快速,11.5
114,藤沢,2021-11-30 08:52:00,2021-11-30 08:52:00,07-21-小田原-快速,12.0
2134,藤沢,2021-11-30 08:53:00,2021-11-30 08:53:00,07-21-小田原-快速,12.5
115,辻堂,2021-11-30 08:56:00,2021-11-30 08:56:00,07-21-小田原-快速,13.0
116,茅ケ崎,2021-11-30 08:59:00,2021-11-30 08:59:00,07-21-小田原-快速,14.0
